Time,input_1,output
20.6,0.173909431,0.173909431
20.7,0.591616443,0.5
20.8,0.914429232,0.5
20.9,0.986071032,0.5
21,0.686833847,0.5
21.1,0.047765442,0.047765442
21.2,-0.662630506,-0.5
21.3,-0.999932808,-0.5
21.4,-0.63247283,-0.5
21.5,0.272196277,0.272196277
21.6,0.963252629,0.5
21.7,0.686582636,0.5
21.8,-0.381986735,-0.381986735
21.9,-0.999467325,-0.5
22,-0.260841506,-0.260841506
22.1,0.878702161,0.5
22.2,0.619932426,0.5
22.3,-0.713101188,-0.5
22.4,-0.732742465,-0.5
22.5,0.693087363,0.5
22.6,0.663100952,0.5
22.7,-0.835306821,-0.5
22.8,-0.36765715,-0.36765715
22.9,0.994162645,0.5
23,-0.221208093,-0.221208093
23.1,-0.815630984,-0.5
23.2,0.878956985,0.5
23.3,-0.022334866,-0.022334866
23.4,-0.822747675,-0.5
23.5,0.948848462,0.5
23.6,-0.376987405,-0.376987405
23.7,-0.402014897,-0.402014897
23.8,0.913255591,0.5
23.9,-0.967630814,-0.5
24,0.647055962,0.5
24.1,-0.153920601,-0.153920601
24.2,-0.32581898,-0.32581898
24.3,0.685668454,0.5
24.4,-0.898524561,-0.5
24.5,0.987810899,0.5
24.6,-0.99687777,-0.5
24.7,0.968512807,0.5
24.8,-0.935399604,-0.5
24.9,0.917742148,0.5
25,-0.923879533,-0.5
25.1,0.951046808,0.5
25.2,-0.985087713,-0.5
25.3,0.999515402,0.5
25.4,-0.955940695,-0.5
25.5,0.80947839,0.5
25.6,-0.523462544,-0.5
25.7,0.09564075,0.09564075
25.8,0.409681043,0.409681043
25.9,-0.84296168,-0.5
26,0.9971589,0.5
26.1,-0.70978961,-0.5
26.2,0.020230476,0.020230476
26.3,0.72532391,0.5
26.4,-0.990872486,-0.5
26.5,0.46027726,0.46027726
26.6,0.515624402,0.5
26.7,-0.998555674,-0.5
26.8,0.362978029,0.362978029
26.9,0.742562954,0.5
27,-0.859138581,-0.5
27.1,-0.295811419,-0.295811419
27.2,0.992051577,0.5
27.3,0.014796361,0.014796361
27.4,-0.999428715,-0.5
27.5,0.019633692,0.019633692
27.6,0.998358652,0.5
27.7,0.195737337,0.195737337
27.8,-0.921261453,-0.5
27.9,-0.61684632,-0.5
28,0.546394347,0.5
28.1,0.982516097,0.5
28.2,0.263145716,0.263145716
28.3,-0.709081098,-0.5
28.4,-0.978217218,-0.5
28.5,-0.419372862,-0.419372862
28.6,0.419971687,0.419971687
28.7,0.944744273,0.5
28.8,0.918451904,0.5
28.9,0.467346662,0.467346662
29,-0.12844943,-0.12844943
29.1,-0.629670272,-0.5
29.2,-0.92101689,-0.5
29.3,-0.99964432,-0.5
29.4,-0.924647095,-0.5
29.5,-0.770012374,-0.5
29.6,-0.597501996,-0.5
29.7,-0.44813047,-0.44813047
29.8,-0.344524956,-0.344524956
29.9,-0.297011583,-0.297011583
30,-0.309016994,-0.309016994
30.1,-0.379750033,-0.379750033
30.2,-0.503514634,-0.5
30.3,-0.665800931,-0.5
30.4,-0.837253286,-0.5
30.5,-0.968387542,-0.5
30.6,-0.990616629,-0.5
30.7,-0.831452158,-0.5
30.8,-0.450179483,-0.450179483
30.9,0.110327589,0.110327589
31,0.682253609,0.5
31.1,0.993175129,0.5
31.2,0.796732476,0.5
31.3,0.093138697,0.093138697
31.4,-0.716024211,-0.5
31.5,-0.98358722,-0.5
31.6,-0.36391459,-0.36391459
31.7,0.649710787,0.5
31.8,0.961373227,0.5
31.9,0.086630647,0.086630647
32,-0.925077207,-0.5
32.1,-0.588826821,-0.5
32.2,0.691750042,0.5
32.3,0.796447603,0.5
32.4,-0.562706822,-0.5
32.5,-0.820401444,-0.5
32.6,0.630719149,0.5
32.7,0.682919417,0.5
32.8,-0.851258356,-0.5
32.9,-0.286253653,-0.286253653
33,0.999402948,0.5
33.1,-0.409767017,-0.409767017
33.2,-0.642830393,-0.5
33.3,0.982934707,0.5
33.4,-0.381057467,-0.381057467
33.5,-0.515112875,-0.5
33.6,0.987171958,0.5
33.7,-0.79838125,-0.5
33.8,0.179846174,0.179846174
33.9,0.479577324,0.479577324
34,-0.899405252,-0.5
34.1,0.994692406,0.5
34.2,-0.827715747,-0.5
34.3,0.518501669,0.5
34.4,-0.177002288,-0.177002288
34.5,-0.1261124,-0.1261124
34.6,0.35981443,0.35981443
34.7,-0.520058863,-0.5
34.8,0.615485417,0.5
34.9,-0.656609451,-0.5
35,0.649448048,0.5
35.1,-0.592882119,-0.5
35.2,0.479108608,0.479108608
35.3,-0.297311551,-0.297311551
35.4,0.041331582,0.041331582
35.5,0.278236807,0.278236807
35.6,-0.61943929,-0.5
35.7,0.898731299,0.5
35.8,-0.998336991,-0.5
35.9,0.806813914,0.5
36,-0.297041582,-0.297041582
36.1,-0.387872745,-0.387872745
36.2,0.917204771,0.5
36.3,-0.914848351,-0.5
36.4,0.263751838,0.263751838
36.5,0.631961674,0.5
36.6,-0.991940505,-0.5
36.7,0.359022882,0.359022882
36.8,0.697625417,0.5
36.9,-0.919751637,-0.5
37,-0.097235494,-0.097235494
37.1,0.989389804,0.5
37.2,-0.320467506,-0.320467506
37.3,-0.90309409,-0.5
37.4,0.478336309,0.478336309
37.5,0.881921264,0.5
37.6,-0.407960805,-0.407960805
37.7,-0.959155148,-0.5
37.8,0.090479622,0.090479622
37.9,0.985861244,0.5
