Time,input_1_1,input_2_1,output
28.9,15.67346662,20.94230239,78.00068465
29,9.715505698,9.157055514,73.11947286
29.1,4.703297279,2.150464962,73.04353934
29.2,1.789831098,18.10121478,9.580843656
29.3,1.003556799,15.52562336,5.800467518
29.4,1.753529047,1.115187887,37.81677653
29.5,3.299876264,12.71155344,21.07870404
29.6,5.02498004,19.76548725,25.74104318
29.7,6.518695295,3.56343872,78.64508721
29.8,7.554750443,7.201046588,64.11621507
29.9,8.029884165,20.99164851,39.91458076
30,7.909830056,7.909830056,64.05147582
30.1,7.202499668,3.195499505,91.76127391
30.2,5.964853662,19.63860123,30.65420674
30.3,4.341990691,12.53610177,27.92885928
30.4,2.627467135,1.253605196,53.44443194
30.5,1.316124582,16.74362501,7.325171898
30.6,1.093833706,16.36781364,6.157459027
30.7,2.685478419,1.140861631,57.25992093
30.8,6.498205166,13.34544939,40.51094577
30.9,12.10327589,18.97434407,63.27980203
31,17.82253609,2.252111157,270.4706572
31.1,20.93175129,10.17751871,149.4273778
31.2,18.96732476,20.40283374,95.63269608
31.3,11.93138697,3.944276735,136.8210147
31.4,3.839757886,7.61380317,31.69192232
31.5,1.164127797,20.94711784,5.792740663
31.6,7.360854096,5.709809488,70.15570043
31.7,17.49710787,5.75119484,166.1624141
31.8,20.61373227,20.96340524,102.5347982
31.9,11.86630647,7.219943924,100.5759661
32,1.749227932,4.529440384,18.71844183
32.1,5.111731788,20.76319422,25.54856663
32.2,17.91750042,8.295877432,141.6745443
32.3,18.96447603,3.834277423,220.5690875
32.4,5.372931779,20.56931216,26.98031441
32.5,2.795985565,8.856908469,21.39633609
32.6,17.30719149,3.566590071,208.7111088
32.7,17.82919417,20.50774588,89.66404262
32.8,2.487416442,8.875016883,19.01557539
32.9,8.137463475,3.680062332,96.60665154
33,20.99402948,20.61165422,105.3137175
33.1,6.902329832,8.349453523,54.40167195
33.2,4.571696073,4.194939531,50.83467634
33.3,20.82934707,20.82351946,103.954706
33.4,7.189425328,7.305905687,60.57629553
33.5,5.848871251,5.192260015,58.45738846
33.6,20.87171958,20.99171257,103.7480303
33.7,3.016187496,5.820356935,28.47272872
33.8,12.79846174,6.786602569,111.8863562
33.9,15.79577324,20.86793027,78.74931169
34,2.005947484,4.063466942,22.66296656
34.1,20.94692406,9.070361819,158.3993945
34.2,2.722842535,20.12228833,13.82386255
34.3,16.18501669,2.352707808,240.3115913
34.4,9.229977121,12.02361978,60.62176432
34.5,9.738876001,18.4015945,51.70430118
34.6,14.5981443,1.184021343,305.5367477
34.7,5.799411369,15.39685241,33.65995312
34.8,17.15485417,15.45685419,99.37383264
34.9,4.433905491,1.195161998,92.3673765
35,17.49448048,18.60405966,92.37251176
35.1,5.071178806,11.34582039,34.2875565
35.2,15.79108608,3.002398968,207.5502996
35.3,8.026884487,20.70816186,40.17184722
35.4,11.41331582,6.66164784,100.7086013
35.5,13.78236807,6.877699539,119.6872281
35.6,4.805607102,20.61476925,24.10485849
35.7,19.98731299,2.650387836,279.6052122
35.8,1.016630094,12.32685417,6.594507957
35.9,19.06813914,17.56135424,103.6274652
36,8.029584184,1.000789558,182.7962312
