time,desired_output,sensed_output,plant_command
0,0,0,0
0.05,0.03148141,0.000392621,0.023472063
0.1,0.063072702,0.000942163,0.047219525
0.15,0.094741643,0.001648629,0.071217581
0.2,0.126455208,0.002512015,0.095440505
0.25,0.158179609,0.003532321,0.119861666
0.3,0.189880322,0.004709544,0.144453539
0.35,0.221522117,0.006043681,0.169187725
0.4,0.253069094,0.007534725,0.194034966
0.45,0.284484715,0.009182668,0.218965163
0.5,0.315731841,0.010987499,0.243947403
0.55,0.346772772,0.012949204,0.268949982
0.6,0.377569291,0.015067765,0.293940428
0.65,0.408082703,0.017343157,0.318885533
0.7,0.438273885,0.019775351,0.343751382
0.75,0.468103332,0.022364311,0.368503384
0.8,0.497531208,0.025109996,0.393106312
0.85,0.526517398,0.028012352,0.417524335
0.9,0.555021563,0.031071319,0.441721061
0.95,0.583003198,0.034286825,0.465659574
1,0.610421688,0.037658789,0.489302484
1.05,0.637236371,0.041187114,0.512611965
1.1,0.663406601,0.04487169,0.535549812
1.15,0.688891811,0.048712393,0.558077483
1.2,0.71365158,0.052709081,0.580156156
1.25,0.737645704,0.056861594,0.601746783
1.3,0.760834263,0.061169753,0.622810145
1.35,0.783177694,0.065633357,0.643306911
1.4,0.804636866,0.070252185,0.663197697
1.45,0.82517315,0.075025988,0.682443133
1.5,0.844748502,0.079954493,0.701003921
1.55,0.863325537,0.0850374,0.718840905
1.6,0.880867606,0.090274377,0.735915137
1.65,0.89733888,0.095665064,0.752187949
1.7,0.912704425,0.101209064,0.767621018
1.75,0.92693029,0.106905948,0.782176445
1.8,0.939983586,0.112755247,0.795816823
1.85,0.951832564,0.118756455,0.808505318
1.9,0.962446708,0.124909023,0.820205737
1.95,0.971796809,0.131212359,0.830882613
2,0.979855052,0.137665825,0.840501278
2.05,0.986595099,0.144268734,0.849027943
2.1,0.99199217,0.151020351,0.856429777
2.15,0.996023125,0.157919885,0.86267499
2.2,0.99866655,0.164966493,0.867732906
2.25,0.999902828,0.172159272,0.871574051
2.3,0.999714229,0.17949726,0.874170229
2.35,0.998084978,0.186979432,0.875494602
2.4,0.995001339,0.194604697,0.87552177
2.45,0.990451683,0.202371897,0.874227855
2.5,0.984426568,0.210279804,0.87159057
2.55,0.976918801,0.218327117,0.867589307
2.6,0.967923512,0.226512457,0.862205204
2.65,0.957438216,0.234834367,0.855421229
2.7,0.945462876,0.243291311,0.847222246
2.75,0.931999962,0.251881667,0.837595091
2.8,0.917054507,0.260603724,0.826528644
2.85,0.900634157,0.269455685,0.81401389
2.9,0.882749224,0.278435657,0.800043991
2.95,0.863412721,0.287541653,0.784614347
3,0.842640412,0.296771588,0.767722655
3.05,0.820450839,0.306123274,0.749368965
3.1,0.796865357,0.315594418,0.729555739
3.15,0.771908154,0.325182623,0.708287893
3.2,0.745606277,0.334885378,0.685572853
3.25,0.717989642,0.344700062,0.661420589
3.3,0.689091042,0.354623935,0.635843661
3.35,0.658946155,0.364654141,0.608857245
3.4,0.627593532,0.3747877,0.580479171
3.45,0.595074595,0.385021508,0.550729942
3.5,0.561433617,0.395352333,0.519632754
3.55,0.526717698,0.405776815,0.487213515
3.6,0.490976739,0.416291456,0.453500849
3.65,0.454263398,0.426892628,0.418526102
3.7,0.416633056,0.437576559,0.382323339
3.75,0.378143757,0.448339339,0.344929337
3.8,0.338856152,0.459176914,0.306383568
3.85,0.298833435,0.470085081,0.266728182
3.9,0.258141266,0.481059492,0.226007979
3.95,0.216847693,0.492095644,0.184270373
4,0.175023059,0.503188883,0.141565356
4.05,0.132739909,0.514334397,0.097945446
4.1,0.090072883,0.525527217,0.05346564
4.15,0.047098605,0.536762214,0.008183349
4.2,0.003895565,0.548034096,-0.037841671
4.25,-0.039456013,0.559337408,-0.084547388
4.3,-0.082874302,0.57066653,-0.13186958
4.35,-0.126276015,0.582015672,-0.179741922
4.4,-0.169576555,0.593378877,-0.22809608
4.45,-0.212690173,0.604750018,-0.276861818
4.5,-0.255530128,0.616122796,-0.325967103
4.55,-0.298008863,0.627490739,-0.375338222
4.6,-0.340038176,0.638847204,-0.424899907
4.65,-0.381529409,0.650185371,-0.474575465
4.7,-0.422393632,0.661498247,-0.52428691
4.75,-0.462541843,0.672778666,-0.573955111
4.8,-0.501885164,0.684019282,-0.623499936
4.85,-0.540335049,0.69521258,-0.672840411
4.9,-0.577803495,0.706350865,-0.721894876
4.95,-0.614203253,0.717426272,-0.770581154
5,-0.649448048,0.728430761,-0.818816723
5.05,-0.683452803,0.739356117,-0.866518886
5.1,-0.716133856,0.750193959,-0.913604958
5.15,-0.747409195,0.760935732,-0.959992447
5.2,-0.777198681,0.771572714,-1.005599245
5.25,-0.805424277,0.782096018,-1.050343816
5.3,-0.832010284,0.792496594,-1.094145395
5.35,-0.856883564,0.802765228,-1.136924183
5.4,-0.879973774,0.812892552,-1.178601547
5.45,-0.901213593,0.822869039,-1.219100223
5.5,-0.920538948,0.832685014,-1.258344515
5.55,-0.937889237,0.842330654,-1.2962605
5.6,-0.953207554,0.851795992,-1.33277623
5.65,-0.966440897,0.861070923,-1.367821936
5.7,-0.977540389,0.870145208,-1.401330227
5.75,-0.986461476,0.879008482,-1.43323629
5.8,-0.993164132,0.887650254,-1.463478088
5.85,-0.997613049,0.896059921,-1.491996553
5.9,-0.999777823,0.904226766,-1.518735778
5.95,-0.999633132,0.912139972,-1.543643204
6,-0.9971589,0.919788626,-1.566669797
6.05,-0.992340457,0.927161725,-1.58777023
6.1,-0.985168682,0.934248188,-1.606903049
6.15,-0.975640142,0.941036863,-1.624030837
6.2,-0.963757211,0.947516536,-1.639120369
6.25,-0.949528181,0.953675939,-1.65214276
6.3,-0.932967357,0.959503763,-1.663073602
6.35,-0.91409514,0.964988664,-1.671893096
6.4,-0.89293809,0.970119279,-1.678586167
6.45,-0.86952898,0.974884234,-1.683142573
6.5,-0.843906828,0.979272155,-1.685557004
6.55,-0.816116914,0.983271683,-1.685829166
6.6,-0.786210783,0.986871484,-1.68396385
6.65,-0.754246224,0.990060265,-1.679970995
6.7,-0.720287233,0.992826784,-1.673865732
6.75,-0.68440396,0.995159868,-1.665668415
6.8,-0.646672634,0.997048423,-1.655404641
6.85,-0.607175469,0.998481453,-1.643105247
6.9,-0.566000548,0.999448074,-1.628806299
6.95,-0.523241691,0.999937528,-1.612549065
7,-0.478998303,0.999939203,-1.594379966
7.05,-0.433375195,0.999442647,-1.574350515
7.1,-0.386482394,0.998437584,-1.552517242
7.15,-0.338434927,0.996913937,-1.528941596
7.2,-0.289352582,0.99486184,-1.503689832
7.25,-0.239359659,0.99227166,-1.476832888
7.3,-0.188584693,0.989134013,-1.448446231
7.35,-0.137160159,0.985439788,-1.418609703
7.4,-0.085222159,0.981180161,-1.387407335
7.45,-0.032910093,0.976346617,-1.354927153
7.5,0.019633692,0.970930973,-1.321260967
7.55,0.072264273,0.964925393,-1.28650414
7.6,0.124834527,0.958322415,-1.250755345
7.65,0.177195534,0.951114966,-1.214116304
7.7,0.229196993,0.943296388,-1.176691515
7.75,0.280687649,0.934860457,-1.138587959
7.8,0.33151573,0.925801405,-1.099914802
7.85,0.381529409,0.916113944,-1.060783077
7.9,0.430577259,0.905793285,-1.021305355
7.95,0.478508729,0.89483516,-0.981595406
8,0.52517463,0.883235849,-0.94176785
8.05,0.570427615,0.870992195,-0.901937795
8.1,0.614122676,0.858101634,-0.862220472
8.15,0.656117643,0.844562209,-0.822730858
8.2,0.696273678,0.830372599,-0.78358329
8.25,0.734455777,0.815532138,-0.744891083
8.3,0.770533268,0.800040835,-0.706766139
8.35,0.804380301,0.7838994,-0.669318548
8.4,0.835876347,0.767109261,-0.632656198
8.45,0.864906671,0.749672589,-0.596884378
8.5,0.891362813,0.731592314,-0.562105385
8.55,0.915143048,0.712872151,-0.528418136
8.6,0.936152843,0.693516613,-0.495917779
8.65,0.954305286,0.673531038,-0.464695318
8.7,0.969521512,0.652921601,-0.434837237
8.75,0.981731108,0.631695337,-0.40642514
8.8,0.990872486,0.609860156,-0.379535401
8.85,0.996893255,0.587424858,-0.354238822
8.9,0.999750546,0.564399156,-0.330600312
8.95,0.999411331,0.540793681,-0.308678575
9,0.995852701,0.516620005,-0.288525816
9.05,0.989062122,0.491890651,-0.270187476
9.1,0.979037652,0.466619102,-0.253701969
9.15,0.96578814,0.440819819,-0.239100459
9.2,0.949333369,0.414508243,-0.226406648
9.25,0.929704187,0.38770081,-0.215636595
9.3,0.906942579,0.360414955,-0.206798557
9.35,0.881101719,0.33266912,-0.199892861
9.4,0.852245967,0.304482756,-0.194911801
9.45,0.820450839,0.27587633,-0.191839567
9.5,0.785802924,0.246871321,-0.190652204
9.55,0.748399764,0.217490226,-0.191317601
9.6,0.708349693,0.187756552,-0.193795514
9.65,0.66577163,0.157694819,-0.198037624
9.7,0.620794824,0.127330548,-0.203987623
9.75,0.573558565,0.09669026,-0.211581339
9.8,0.524211842,0.065801461,-0.220746894
9.85,0.472912963,0.034692635,-0.231404898
9.9,0.419829126,0.003393228,-0.243468675
9.95,0.365135958,-0.028066366,-0.256844525
10,0.309016994,-0.059654821,-0.271432025
10.05,0.251663138,-0.091339905,-0.287124355
10.1,0.193272064,-0.123088492,-0.303808667
10.15,0.134047586,-0.154866599,-0.32136648
10.2,0.074198997,-0.1866394,-0.339674113
10.25,0.013940366,-0.218371264,-0.358603144
10.3,-0.046510202,-0.250025785,-0.378020902
10.35,-0.106931327,-0.281565812,-0.397790988
10.4,-0.167099148,-0.31295349,-0.417773819
10.45,-0.226788148,-0.344150299,-0.437827204
10.5,-0.285771996,-0.375117092,-0.45780694
10.55,-0.343824412,-0.405814141,-0.477567426
10.6,-0.40072005,-0.436201188,-0.496962304
10.65,-0.456235396,-0.466237487,-0.515845113
10.7,-0.510149675,-0.49588186,-0.534069958
10.75,-0.562245764,-0.525092752,-0.551492191
10.8,-0.612311117,-0.553828287,-0.567969105
10.85,-0.660138678,-0.582046328,-0.583360628
10.9,-0.7055278,-0.609704535,-0.597530027
10.95,-0.748285152,-0.636760438,-0.61034461
11,-0.788225612,-0.663171496,-0.621676428
11.05,-0.82517315,-0.68889517,-0.631402965
11.1,-0.858961684,-0.713888994,-0.639407829
11.15,-0.889435918,-0.738110648,-0.645581419
11.2,-0.916452146,-0.761518036,-0.649821591
11.25,-0.939879024,-0.784069363,-0.652034288
11.3,-0.959598313,-0.805723215,-0.652134162
11.35,-0.975505566,-0.82643864,-0.650045162
11.4,-0.987510786,-0.846175234,-0.645701098
11.45,-0.995539022,-0.864893228,-0.639046164
11.5,-0.999530922,-0.882553569,-0.630035435
11.55,-0.999443221,-0.899118016,-0.618635321
11.6,-0.995249175,-0.914549226,-0.604823974
11.65,-0.986938931,-0.928810843,-0.588591656
11.7,-0.974519827,-0.941867597,-0.56994106
11.75,-0.958016622,-0.95368539,-0.548887569
11.8,-0.937471663,-0.964231393,-0.525459474
11.85,-0.912944964,-0.97347414,-0.499698131
11.9,-0.884514218,-0.981383621,-0.471658057
11.95,-0.852274727,-0.987931377,-0.44140697
12,-0.816339251,-0.993090595,-0.409025765
12.05,-0.776837775,-0.9968362,-0.374608424
12.1,-0.733917201,-0.999144953,-0.338261869
12.15,-0.687740944,-0.999995535,-0.300105738
12.2,-0.638488461,-0.999368647,-0.260272107
12.25,-0.586354684,-0.997247096,-0.21890513
12.3,-0.531549379,-0.993615883,-0.176160629
12.35,-0.474296422,-0.988462292,-0.132205604
12.4,-0.414832998,-0.981775972,-0.087217682
12.45,-0.35340872,-0.973549021,-0.041384501
12.5,-0.290284677,-0.963776066,0.005096967
12.55,-0.225732406,-0.952454336,0.052021166
12.6,-0.160032799,-0.93958374,0.099174752
12.65,-0.093474945,-0.925166933,0.146337456
12.7,-0.02635491,-0.909209385,0.193283
12.75,0.041025537,-0.89171944,0.239780068
12.8,0.108360254,-0.872708375,0.285593314
