Time,input_1,output
16.6,94.66537597,1.366634399
16.7,-15.29892859,-1.382473215
16.8,-84.05363475,-3.101340869
16.9,80.08338176,1.002084544
17,34.16921079,-0.14576973
17.1,-99.30351843,-3.482587961
17.2,4.97422919,-0.87564427
17.3,98.80348152,1.470087038
17.4,-19.58913761,-1.48972844
17.5,-98.44265681,-3.46106642
17.6,9.33576506,-0.766605873
17.7,99.86224007,1.496556002
17.8,25.82930189,-0.354267453
17.9,-86.13969851,-3.153492463
18,-76.2442511,-2.906106278
18.1,30.1867432,-0.24533142
18.2,98.82902469,1.470725617
18.3,62.55123164,0.563780791
18.4,-30.47113686,-1.761778422
18.5,-94.32516409,-3.358129102
18.6,-86.71332981,-3.167833245
18.7,-24.96330661,-1.624082665
18.8,46.35929788,0.158982447
18.9,91.42383982,1.285595996
19,98.16937285,1.454234321
19.1,74.00326861,0.850081715
19.2,34.27547914,-0.143113021
19.3,-7.059564842,-1.176489121
19.4,-41.54046214,-2.038511553
19.5,-66.19007972,-2.654751993
19.6,-81.66294673,-3.041573668
19.7,-90.22559146,-3.255639787
19.8,-94.30323518,-3.357580879
19.9,-95.67211943,-3.391802986
20,-95.10565163,-3.377641291
20.1,-92.26848529,-3.306712132
20.2,-85.75912958,-3.14397824
20.3,-73.34475692,-2.833618923
20.4,-52.56023201,-2.3140058
20.5,-21.89096573,-1.547274143
20.6,17.39094312,-0.565226422
20.7,59.1616443,0.479041108
20.8,91.44292317,1.286073079
20.9,98.60710322,1.465177581
21,68.68338465,0.717084616
21.1,4.776544248,-0.880586394
21.2,-66.26305055,-2.656576264
21.3,-99.9932808,-3.49983202
21.4,-63.247283,-2.581182075
21.5,27.21962766,-0.319509308
21.6,96.32526286,1.408131572
21.7,68.65826365,0.716456591
21.8,-38.19867349,-1.954966837
21.9,-99.9467325,-3.498668313
22,-26.08415063,-1.652103766
22.1,87.87021609,1.196755402
22.2,61.99324256,0.549831064
22.3,-71.31011883,-2.782752971
22.4,-73.27424651,-2.831856163
22.5,69.30873625,0.732718406
22.6,66.31009517,0.657752379
22.7,-83.53068208,-3.088267052
22.8,-36.76571496,-1.919142874
